attribution_model,journey_id,channel,campaign,attributed_conversions,attributed_revenue
First-Touch,J00071,TikTok Ads,ugc_demo,1.0,102.62
First-Touch,J00077,Organic Search,comparison_page,1.0,124.69
First-Touch,J00078,TikTok Ads,ugc_demo,1.0,310.08
First-Touch,J00080,TikTok Ads,ugc_demo,1.0,342.68
First-Touch,J00081,LinkedIn Ads,saas_trial,1.0,391.49
First-Touch,J00084,TikTok Ads,ugc_demo,1.0,113.25
First-Touch,J00086,Meta Ads,interest_stack,1.0,1073.67
First-Touch,J00091,Organic Search,seo_blog,1.0,365.03
First-Touch,J00093,Meta Ads,lookalike_1pct,1.0,120.76
First-Touch,J00095,TikTok Ads,creator_spark,1.0,90.13
First-Touch,J00099,Referral,software_review,1.0,118.48
First-Touch,J00101,Organic Search,comparison_page,1.0,265.17
First-Touch,J00108,TikTok Ads,short_video_awareness,1.0,872.9
First-Touch,J00111,Meta Ads,interest_stack,1.0,283.23
First-Touch,J00115,Meta Ads,retargeting,1.0,105.24
First-Touch,J00118,Google Ads,high_intent_keywords,1.0,84.16
First-Touch,J00119,Organic Search,seo_blog,1.0,119.63
First-Touch,J00120,Referral,partner_site,1.0,360.58
First-Touch,J00121,Meta Ads,retargeting,1.0,117.33
First-Touch,J00123,Meta Ads,interest_stack,1.0,912.96
First-Touch,J00124,Organic Search,comparison_page,1.0,127.64
First-Touch,J00126,LinkedIn Ads,saas_trial,1.0,123.63
First-Touch,J00127,TikTok Ads,ugc_demo,1.0,402.8
First-Touch,J00133,Direct,typed_url,1.0,94.17
First-Touch,J00137,Organic Search,seo_blog,1.0,109.78
First-Touch,J00140,Google Ads,high_intent_keywords,1.0,108.54
First-Touch,J00143,Organic Search,comparison_page,1.0,280.24
First-Touch,J00151,Organic Search,comparison_page,1.0,1181.47
First-Touch,J00154,Direct,typed_url,1.0,340.3
First-Touch,J00155,Organic Search,seo_blog,1.0,318.72
First-Touch,J00156,Organic Search,how_to_guide,1.0,124.82
First-Touch,J00158,Organic Search,how_to_guide,1.0,87.45
First-Touch,J00161,TikTok Ads,ugc_demo,1.0,949.01
First-Touch,J00164,Meta Ads,lookalike_1pct,1.0,86.32
First-Touch,J00166,TikTok Ads,creator_spark,1.0,263.86
First-Touch,J00167,Google Ads,high_intent_keywords,1.0,100.18
First-Touch,J00169,TikTok Ads,short_video_awareness,1.0,88.73
First-Touch,J00170,Meta Ads,interest_stack,1.0,99.92
First-Touch,J00175,Organic Search,comparison_page,1.0,317.56
First-Touch,J00176,TikTok Ads,short_video_awareness,1.0,120.47
First-Touch,J00178,Google Ads,brand_search,1.0,305.41
First-Touch,J00180,Google Ads,high_intent_keywords,1.0,96.62
First-Touch,J00182,Google Ads,competitor_search,1.0,84.19
First-Touch,J00185,Organic Search,comparison_page,1.0,100.87
First-Touch,J00188,Direct,typed_url,1.0,286.93
First-Touch,J00189,Meta Ads,lookalike_1pct,1.0,350.56
First-Touch,J00193,Google Ads,competitor_search,1.0,100.63
First-Touch,J00198,LinkedIn Ads,b2b_leads,1.0,115.89
First-Touch,J00202,Meta Ads,interest_stack,1.0,302.38
First-Touch,J00210,Referral,affiliate_blog,1.0,113.48
First-Touch,J00212,Email,abandoned_cart,1.0,109.66
First-Touch,J00213,Referral,software_review,1.0,326.71
First-Touch,J00231,TikTok Ads,short_video_awareness,1.0,352.87
First-Touch,J00234,Direct,typed_url,1.0,122.7
First-Touch,J00235,TikTok Ads,creator_spark,1.0,99.16
First-Touch,J00238,Meta Ads,retargeting,1.0,892.42
First-Touch,J00239,Organic Search,how_to_guide,1.0,284.43
First-Touch,J00243,Google Ads,high_intent_keywords,1.0,380.88
First-Touch,J00244,Referral,software_review,1.0,123.61
First-Touch,J00246,TikTok Ads,ugc_demo,1.0,101.74
First-Touch,J00247,Organic Search,how_to_guide,1.0,289.64
First-Touch,J00250,Referral,affiliate_blog,1.0,829.07
First-Touch,J00251,Google Ads,high_intent_keywords,1.0,116.99
First-Touch,J00252,Organic Search,comparison_page,1.0,266.82
First-Touch,J00253,Google Ads,brand_search,1.0,392.68
First-Touch,J00255,Meta Ads,lookalike_1pct,1.0,129.8
First-Touch,J00256,Meta Ads,interest_stack,1.0,1155.42
First-Touch,J00257,TikTok Ads,creator_spark,1.0,90.15
First-Touch,J00258,Email,newsletter,1.0,85.86
First-Touch,J00260,Google Ads,brand_search,1.0,116.52
First-Touch,J00262,Organic Search,comparison_page,1.0,86.11
First-Touch,J00266,Organic Search,how_to_guide,1.0,956.03
First-Touch,J00267,Google Ads,brand_search,1.0,1050.23
First-Touch,J00270,TikTok Ads,ugc_demo,1.0,131.43
First-Touch,J00272,Meta Ads,lookalike_1pct,1.0,117.81
First-Touch,J00273,Organic Search,seo_blog,1.0,94.58
First-Touch,J00281,Organic Search,how_to_guide,1.0,919.31
First-Touch,J00282,Meta Ads,retargeting,1.0,314.92
First-Touch,J00285,Organic Search,seo_blog,1.0,115.98
First-Touch,J00286,TikTok Ads,creator_spark,1.0,102.68
First-Touch,J00287,TikTok Ads,short_video_awareness,1.0,297.43
First-Touch,J00288,Meta Ads,lookalike_1pct,1.0,294.4
First-Touch,J00290,Direct,typed_url,1.0,385.27
First-Touch,J00293,TikTok Ads,ugc_demo,1.0,105.26
First-Touch,J00294,Direct,direct_visit,1.0,121.75
First-Touch,J00295,LinkedIn Ads,saas_trial,1.0,333.46
First-Touch,J00296,Referral,partner_site,1.0,107.97
First-Touch,J00297,TikTok Ads,creator_spark,1.0,258.66
First-Touch,J00299,LinkedIn Ads,decision_makers,1.0,87.38
First-Touch,J00300,Meta Ads,retargeting,1.0,103.49
First-Touch,J00302,Organic Search,comparison_page,1.0,770.87
First-Touch,J00303,Organic Search,comparison_page,1.0,114.82
First-Touch,J00306,Direct,typed_url,1.0,395.18
First-Touch,J00309,Organic Search,seo_blog,1.0,95.58
First-Touch,J00310,Organic Search,how_to_guide,1.0,123.06
First-Touch,J00317,Google Ads,brand_search,1.0,357.04
First-Touch,J00318,Direct,typed_url,1.0,350.9
First-Touch,J00322,Google Ads,high_intent_keywords,1.0,88.8
First-Touch,J00324,Organic Search,how_to_guide,1.0,112.84
First-Touch,J00325,LinkedIn Ads,decision_makers,1.0,124.33
First-Touch,J00330,Meta Ads,interest_stack,1.0,268.58
First-Touch,J00331,TikTok Ads,ugc_demo,1.0,324.97
First-Touch,J00334,TikTok Ads,short_video_awareness,1.0,128.88
First-Touch,J00335,LinkedIn Ads,decision_makers,1.0,96.53
First-Touch,J00336,Google Ads,high_intent_keywords,1.0,398.43
First-Touch,J00338,Email,trial_nurture,1.0,97.83
First-Touch,J00343,Organic Search,seo_blog,1.0,105.51
First-Touch,J00344,LinkedIn Ads,saas_trial,1.0,128.62
First-Touch,J00345,TikTok Ads,creator_spark,1.0,99.71
First-Touch,J00346,Organic Search,seo_blog,1.0,1006.8
First-Touch,J00351,TikTok Ads,ugc_demo,1.0,99.42
First-Touch,J00358,Organic Search,comparison_page,1.0,307.22
First-Touch,J00360,Direct,typed_url,1.0,324.93
First-Touch,J00362,Organic Search,seo_blog,1.0,902.5
First-Touch,J00363,Meta Ads,interest_stack,1.0,92.92
First-Touch,J00365,Organic Search,comparison_page,1.0,357.98
First-Touch,J00367,Referral,affiliate_blog,1.0,354.3
First-Touch,J00368,Organic Search,seo_blog,1.0,837.66
First-Touch,J00371,TikTok Ads,short_video_awareness,1.0,128.34
First-Touch,J00374,Meta Ads,interest_stack,1.0,844.44
First-Touch,J00378,TikTok Ads,ugc_demo,1.0,122.2
First-Touch,J00379,Google Ads,competitor_search,1.0,109.98
First-Touch,J00380,Email,newsletter,1.0,102.95
First-Touch,J00381,Referral,affiliate_blog,1.0,93.19
First-Touch,J00382,Meta Ads,lookalike_1pct,1.0,111.0
First-Touch,J00383,Direct,saved_link,1.0,268.29
First-Touch,J00384,TikTok Ads,short_video_awareness,1.0,275.83
First-Touch,J00386,Meta Ads,lookalike_1pct,1.0,276.84
First-Touch,J00387,Google Ads,high_intent_keywords,1.0,108.22
First-Touch,J00389,Meta Ads,lookalike_1pct,1.0,130.9
First-Touch,J00391,Google Ads,high_intent_keywords,1.0,99.49
First-Touch,J00393,Organic Search,how_to_guide,1.0,327.82
First-Touch,J00397,LinkedIn Ads,b2b_leads,1.0,363.8
First-Touch,J00399,Google Ads,competitor_search,1.0,353.86
First-Touch,J00403,TikTok Ads,creator_spark,1.0,279.87
First-Touch,J00404,TikTok Ads,short_video_awareness,1.0,275.94
First-Touch,J00406,Organic Search,seo_blog,1.0,327.53
First-Touch,J00407,TikTok Ads,short_video_awareness,1.0,311.15
First-Touch,J00409,Organic Search,how_to_guide,1.0,126.03
First-Touch,J00413,Organic Search,seo_blog,1.0,86.22
First-Touch,J00414,Organic Search,seo_blog,1.0,93.28
First-Touch,J00415,Referral,software_review,1.0,279.55
First-Touch,J00416,Organic Search,comparison_page,1.0,893.1
First-Touch,J00417,Direct,typed_url,1.0,93.78
First-Touch,J00419,LinkedIn Ads,saas_trial,1.0,104.43
First-Touch,J00420,TikTok Ads,short_video_awareness,1.0,117.4
First-Touch,J00422,Email,abandoned_cart,1.0,106.42
First-Touch,J00423,TikTok Ads,ugc_demo,1.0,1047.79
First-Touch,J00424,Meta Ads,lookalike_1pct,1.0,265.48
First-Touch,J00428,Meta Ads,lookalike_1pct,1.0,108.61
First-Touch,J00431,Meta Ads,interest_stack,1.0,350.37
First-Touch,J00433,Google Ads,high_intent_keywords,1.0,92.28
First-Touch,J00434,TikTok Ads,ugc_demo,1.0,128.6
First-Touch,J00441,Organic Search,seo_blog,1.0,123.64
First-Touch,J00443,TikTok Ads,ugc_demo,1.0,96.48
First-Touch,J00445,Google Ads,brand_search,1.0,118.87
First-Touch,J00446,Google Ads,competitor_search,1.0,366.63
First-Touch,J00450,Google Ads,brand_search,1.0,133.36
First-Touch,J00458,Google Ads,competitor_search,1.0,109.94
First-Touch,J00459,LinkedIn Ads,decision_makers,1.0,93.78
First-Touch,J00461,TikTok Ads,short_video_awareness,1.0,946.61
First-Touch,J00462,Organic Search,how_to_guide,1.0,130.4
First-Touch,J00463,Meta Ads,interest_stack,1.0,330.23
First-Touch,J00464,Email,abandoned_cart,1.0,282.04
First-Touch,J00466,Organic Search,seo_blog,1.0,334.7
First-Touch,J00472,LinkedIn Ads,b2b_leads,1.0,111.39
First-Touch,J00473,Meta Ads,lookalike_1pct,1.0,128.45
First-Touch,J00475,TikTok Ads,creator_spark,1.0,877.47
First-Touch,J00476,TikTok Ads,creator_spark,1.0,980.07
First-Touch,J00477,Organic Search,how_to_guide,1.0,345.88
First-Touch,J00479,Direct,typed_url,1.0,806.17
First-Touch,J00481,TikTok Ads,short_video_awareness,1.0,119.99
First-Touch,J00482,Meta Ads,interest_stack,1.0,124.37
First-Touch,J00485,Organic Search,comparison_page,1.0,88.54
First-Touch,J00486,Meta Ads,lookalike_1pct,1.0,86.48
First-Touch,J00491,Organic Search,comparison_page,1.0,1160.74
First-Touch,J00492,TikTok Ads,creator_spark,1.0,260.56
First-Touch,J00494,Referral,affiliate_blog,1.0,894.69
First-Touch,J00497,Direct,typed_url,1.0,316.6
Last-Touch,J00001,Meta Ads,retargeting,1.0,267.15
Last-Touch,J00004,Email,abandoned_cart,1.0,109.37
Last-Touch,J00006,Email,newsletter,1.0,352.78
Last-Touch,J00008,Organic Search,seo_blog,1.0,127.44
Last-Touch,J00011,Google Ads,competitor_search,1.0,89.24
Last-Touch,J00022,Direct,saved_link,1.0,255.98
Last-Touch,J00023,Direct,direct_visit,1.0,114.16
Last-Touch,J00025,Google Ads,brand_search,1.0,331.74
Last-Touch,J00026,Organic Search,how_to_guide,1.0,284.58
Last-Touch,J00027,Direct,direct_visit,1.0,126.92
Last-Touch,J00029,Google Ads,high_intent_keywords,1.0,93.06
Last-Touch,J00031,Google Ads,brand_search,1.0,120.4
Last-Touch,J00033,Direct,typed_url,1.0,131.2
Last-Touch,J00034,Google Ads,high_intent_keywords,1.0,273.58
Last-Touch,J00035,Direct,saved_link,1.0,98.75
Last-Touch,J00036,Organic Search,seo_blog,1.0,118.15
Last-Touch,J00037,Google Ads,high_intent_keywords,1.0,275.36
Last-Touch,J00039,Email,abandoned_cart,1.0,391.66
Last-Touch,J00040,Email,abandoned_cart,1.0,97.75
Last-Touch,J00041,Email,abandoned_cart,1.0,91.15
Last-Touch,J00042,Google Ads,high_intent_keywords,1.0,123.16
Last-Touch,J00043,Direct,direct_visit,1.0,122.98
Last-Touch,J00045,Referral,partner_site,1.0,96.82
Last-Touch,J00059,Google Ads,brand_search,1.0,388.07
Last-Touch,J00060,Direct,saved_link,1.0,336.43
Last-Touch,J00063,Google Ads,competitor_search,1.0,355.86
Last-Touch,J00066,Google Ads,competitor_search,1.0,956.18
Last-Touch,J00067,Google Ads,high_intent_keywords,1.0,1106.53
Last-Touch,J00068,Organic Search,comparison_page,1.0,361.79
Last-Touch,J00069,Organic Search,how_to_guide,1.0,1141.31
Last-Touch,J00071,Referral,partner_site,1.0,102.62
Last-Touch,J00077,Email,abandoned_cart,1.0,124.69
Last-Touch,J00078,Direct,direct_visit,1.0,310.08
Last-Touch,J00080,Direct,typed_url,1.0,342.68
Last-Touch,J00081,LinkedIn Ads,decision_makers,1.0,391.49
Last-Touch,J00084,Organic Search,seo_blog,1.0,113.25
Last-Touch,J00086,Email,abandoned_cart,1.0,1073.67
Last-Touch,J00091,Organic Search,seo_blog,1.0,365.03
Last-Touch,J00093,Email,newsletter,1.0,120.76
Last-Touch,J00095,Direct,direct_visit,1.0,90.13
Last-Touch,J00099,Google Ads,high_intent_keywords,1.0,118.48
Last-Touch,J00101,LinkedIn Ads,b2b_leads,1.0,265.17
Last-Touch,J00108,Direct,direct_visit,1.0,872.9
Last-Touch,J00111,Organic Search,seo_blog,1.0,283.23
Last-Touch,J00115,Google Ads,competitor_search,1.0,105.24
Last-Touch,J00118,Google Ads,high_intent_keywords,1.0,84.16
Last-Touch,J00119,Organic Search,seo_blog,1.0,119.63
Last-Touch,J00120,Direct,typed_url,1.0,360.58
Last-Touch,J00121,Organic Search,comparison_page,1.0,117.33
Last-Touch,J00123,Google Ads,brand_search,1.0,912.96
Last-Touch,J00124,Google Ads,high_intent_keywords,1.0,127.64
Last-Touch,J00126,Direct,typed_url,1.0,123.63
Last-Touch,J00127,Email,abandoned_cart,1.0,402.8
Last-Touch,J00133,Email,abandoned_cart,1.0,94.17
Last-Touch,J00137,Google Ads,brand_search,1.0,109.78
Last-Touch,J00140,Referral,partner_site,1.0,108.54
Last-Touch,J00143,LinkedIn Ads,decision_makers,1.0,280.24
Last-Touch,J00151,Email,newsletter,1.0,1181.47
Last-Touch,J00154,Google Ads,brand_search,1.0,340.3
Last-Touch,J00155,Direct,direct_visit,1.0,318.72
Last-Touch,J00156,Direct,saved_link,1.0,124.82
Last-Touch,J00158,Organic Search,how_to_guide,1.0,87.45
Last-Touch,J00161,Google Ads,brand_search,1.0,949.01
Last-Touch,J00164,Direct,direct_visit,1.0,86.32
Last-Touch,J00166,Email,trial_nurture,1.0,263.86
Last-Touch,J00167,Organic Search,how_to_guide,1.0,100.18
Last-Touch,J00169,Google Ads,competitor_search,1.0,88.73
Last-Touch,J00170,Google Ads,competitor_search,1.0,99.92
Last-Touch,J00175,Google Ads,high_intent_keywords,1.0,317.56
Last-Touch,J00176,Google Ads,competitor_search,1.0,120.47
Last-Touch,J00178,Google Ads,high_intent_keywords,1.0,305.41
Last-Touch,J00180,Google Ads,high_intent_keywords,1.0,96.62
Last-Touch,J00182,Google Ads,competitor_search,1.0,84.19
Last-Touch,J00185,Google Ads,brand_search,1.0,100.87
Last-Touch,J00188,Direct,typed_url,1.0,286.93
Last-Touch,J00189,Email,newsletter,1.0,350.56
Last-Touch,J00193,Email,abandoned_cart,1.0,100.63
Last-Touch,J00198,Google Ads,competitor_search,1.0,115.89
Last-Touch,J00202,Direct,typed_url,1.0,302.38
Last-Touch,J00210,Google Ads,competitor_search,1.0,113.48
Last-Touch,J00212,Google Ads,competitor_search,1.0,109.66
Last-Touch,J00213,Google Ads,high_intent_keywords,1.0,326.71
Last-Touch,J00231,LinkedIn Ads,saas_trial,1.0,352.87
Last-Touch,J00234,Organic Search,how_to_guide,1.0,122.7
Last-Touch,J00235,Email,trial_nurture,1.0,99.16
Last-Touch,J00238,Direct,direct_visit,1.0,892.42
Last-Touch,J00239,Email,trial_nurture,1.0,284.43
Last-Touch,J00243,Email,newsletter,1.0,380.88
Last-Touch,J00244,Google Ads,competitor_search,1.0,123.61
Last-Touch,J00246,Google Ads,competitor_search,1.0,101.74
Last-Touch,J00247,Direct,direct_visit,1.0,289.64
Last-Touch,J00250,Direct,saved_link,1.0,829.07
Last-Touch,J00251,Google Ads,competitor_search,1.0,116.99
Last-Touch,J00252,Email,trial_nurture,1.0,266.82
Last-Touch,J00253,Google Ads,high_intent_keywords,1.0,392.68
Last-Touch,J00255,Google Ads,high_intent_keywords,1.0,129.8
Last-Touch,J00256,Direct,direct_visit,1.0,1155.42
Last-Touch,J00257,Google Ads,brand_search,1.0,90.15
Last-Touch,J00258,Google Ads,competitor_search,1.0,85.86
Last-Touch,J00260,Email,trial_nurture,1.0,116.52
Last-Touch,J00262,Email,newsletter,1.0,86.11
Last-Touch,J00266,Email,abandoned_cart,1.0,956.03
Last-Touch,J00267,Google Ads,brand_search,1.0,1050.23
Last-Touch,J00270,Direct,saved_link,1.0,131.43
Last-Touch,J00272,Email,abandoned_cart,1.0,117.81
Last-Touch,J00273,Organic Search,seo_blog,1.0,94.58
Last-Touch,J00281,LinkedIn Ads,decision_makers,1.0,919.31
Last-Touch,J00282,Email,newsletter,1.0,314.92
Last-Touch,J00285,Meta Ads,retargeting,1.0,115.98
Last-Touch,J00286,Google Ads,brand_search,1.0,102.68
Last-Touch,J00287,Email,newsletter,1.0,297.43
Last-Touch,J00288,Organic Search,seo_blog,1.0,294.4
Last-Touch,J00290,Organic Search,how_to_guide,1.0,385.27
Last-Touch,J00293,Google Ads,brand_search,1.0,105.26
Last-Touch,J00294,Google Ads,brand_search,1.0,121.75
Last-Touch,J00295,Google Ads,competitor_search,1.0,333.46
Last-Touch,J00296,Direct,typed_url,1.0,107.97
Last-Touch,J00297,Direct,typed_url,1.0,258.66
Last-Touch,J00299,Referral,partner_site,1.0,87.38
Last-Touch,J00300,Meta Ads,retargeting,1.0,103.49
Last-Touch,J00302,Google Ads,high_intent_keywords,1.0,770.87
Last-Touch,J00303,Email,abandoned_cart,1.0,114.82
Last-Touch,J00306,Direct,direct_visit,1.0,395.18
Last-Touch,J00309,LinkedIn Ads,saas_trial,1.0,95.58
Last-Touch,J00310,Google Ads,brand_search,1.0,123.06
Last-Touch,J00317,Email,abandoned_cart,1.0,357.04
Last-Touch,J00318,Direct,direct_visit,1.0,350.9
Last-Touch,J00322,Google Ads,high_intent_keywords,1.0,88.8
Last-Touch,J00324,Google Ads,competitor_search,1.0,112.84
Last-Touch,J00325,Direct,typed_url,1.0,124.33
Last-Touch,J00330,Direct,direct_visit,1.0,268.58
Last-Touch,J00331,Email,trial_nurture,1.0,324.97
Last-Touch,J00334,Google Ads,competitor_search,1.0,128.88
Last-Touch,J00335,Direct,direct_visit,1.0,96.53
Last-Touch,J00336,Google Ads,competitor_search,1.0,398.43
Last-Touch,J00338,Email,trial_nurture,1.0,97.83
Last-Touch,J00343,Organic Search,seo_blog,1.0,105.51
Last-Touch,J00344,Google Ads,high_intent_keywords,1.0,128.62
Last-Touch,J00345,Direct,saved_link,1.0,99.71
Last-Touch,J00346,LinkedIn Ads,decision_makers,1.0,1006.8
Last-Touch,J00351,Email,newsletter,1.0,99.42
Last-Touch,J00358,Google Ads,competitor_search,1.0,307.22
Last-Touch,J00360,LinkedIn Ads,saas_trial,1.0,324.93
Last-Touch,J00362,Organic Search,seo_blog,1.0,902.5
Last-Touch,J00363,Email,newsletter,1.0,92.92
Last-Touch,J00365,LinkedIn Ads,decision_makers,1.0,357.98
Last-Touch,J00367,Email,newsletter,1.0,354.3
Last-Touch,J00368,TikTok Ads,short_video_awareness,1.0,837.66
Last-Touch,J00371,Google Ads,high_intent_keywords,1.0,128.34
Last-Touch,J00374,Direct,saved_link,1.0,844.44
Last-Touch,J00378,Google Ads,high_intent_keywords,1.0,122.2
Last-Touch,J00379,Email,newsletter,1.0,109.98
Last-Touch,J00380,Google Ads,competitor_search,1.0,102.95
Last-Touch,J00381,Direct,saved_link,1.0,93.19
Last-Touch,J00382,Meta Ads,interest_stack,1.0,111.0
Last-Touch,J00383,Google Ads,high_intent_keywords,1.0,268.29
Last-Touch,J00384,Direct,direct_visit,1.0,275.83
Last-Touch,J00386,Google Ads,brand_search,1.0,276.84
Last-Touch,J00387,Google Ads,high_intent_keywords,1.0,108.22
Last-Touch,J00389,LinkedIn Ads,decision_makers,1.0,130.9
Last-Touch,J00391,Direct,saved_link,1.0,99.49
Last-Touch,J00393,Google Ads,high_intent_keywords,1.0,327.82
Last-Touch,J00397,Organic Search,how_to_guide,1.0,363.8
Last-Touch,J00399,Google Ads,competitor_search,1.0,353.86
Last-Touch,J00403,Google Ads,high_intent_keywords,1.0,279.87
Last-Touch,J00404,Organic Search,seo_blog,1.0,275.94
Last-Touch,J00406,Referral,affiliate_blog,1.0,327.53
Last-Touch,J00407,Organic Search,seo_blog,1.0,311.15
Last-Touch,J00409,Email,abandoned_cart,1.0,126.03
Last-Touch,J00413,Google Ads,brand_search,1.0,86.22
Last-Touch,J00414,Direct,direct_visit,1.0,93.28
Last-Touch,J00415,Organic Search,comparison_page,1.0,279.55
Last-Touch,J00416,Direct,saved_link,1.0,893.1
Last-Touch,J00417,Email,abandoned_cart,1.0,93.78
Last-Touch,J00419,LinkedIn Ads,decision_makers,1.0,104.43
Last-Touch,J00420,Organic Search,comparison_page,1.0,117.4
Last-Touch,J00422,Direct,direct_visit,1.0,106.42
Last-Touch,J00423,Google Ads,high_intent_keywords,1.0,1047.79
Last-Touch,J00424,LinkedIn Ads,saas_trial,1.0,265.48
Last-Touch,J00428,Direct,saved_link,1.0,108.61
Last-Touch,J00431,Direct,saved_link,1.0,350.37
Last-Touch,J00433,Google Ads,high_intent_keywords,1.0,92.28
Last-Touch,J00434,Direct,direct_visit,1.0,128.6
Last-Touch,J00441,TikTok Ads,short_video_awareness,1.0,123.64
Last-Touch,J00443,Direct,typed_url,1.0,96.48
Last-Touch,J00445,Direct,direct_visit,1.0,118.87
Last-Touch,J00446,Google Ads,brand_search,1.0,366.63
Last-Touch,J00450,Email,trial_nurture,1.0,133.36
Last-Touch,J00458,Organic Search,how_to_guide,1.0,109.94
Last-Touch,J00459,Organic Search,how_to_guide,1.0,93.78
Last-Touch,J00461,Google Ads,brand_search,1.0,946.61
Last-Touch,J00462,Organic Search,how_to_guide,1.0,130.4
Last-Touch,J00463,LinkedIn Ads,saas_trial,1.0,330.23
Last-Touch,J00464,Email,abandoned_cart,1.0,282.04
Last-Touch,J00466,Direct,saved_link,1.0,334.7
Last-Touch,J00472,Google Ads,brand_search,1.0,111.39
Last-Touch,J00473,Direct,saved_link,1.0,128.45
Last-Touch,J00475,Direct,typed_url,1.0,877.47
Last-Touch,J00476,Google Ads,high_intent_keywords,1.0,980.07
Last-Touch,J00477,Organic Search,seo_blog,1.0,345.88
Last-Touch,J00479,Direct,typed_url,1.0,806.17
Last-Touch,J00481,TikTok Ads,creator_spark,1.0,119.99
Last-Touch,J00482,Organic Search,seo_blog,1.0,124.37
Last-Touch,J00485,Email,trial_nurture,1.0,88.54
Last-Touch,J00486,Organic Search,seo_blog,1.0,86.48
Last-Touch,J00491,Email,newsletter,1.0,1160.74
Last-Touch,J00492,Direct,direct_visit,1.0,260.56
Last-Touch,J00494,Email,newsletter,1.0,894.69
Last-Touch,J00497,Email,trial_nurture,1.0,316.6
Linear,J00001,TikTok Ads,creator_spark,0.25,66.7875
Linear,J00001,Organic Search,how_to_guide,0.25,66.7875
Linear,J00001,Direct,direct_visit,0.25,66.7875
Linear,J00001,Meta Ads,retargeting,0.25,66.7875
Linear,J00004,Google Ads,brand_search,0.25,27.3425
Linear,J00004,Google Ads,competitor_search,0.25,27.3425
Linear,J00004,Google Ads,high_intent_keywords,0.25,27.3425
Linear,J00004,Email,abandoned_cart,0.25,27.3425
Linear,J00006,Referral,affiliate_blog,0.25,88.195
Linear,J00006,Email,abandoned_cart,0.25,88.195
Linear,J00006,Direct,saved_link,0.25,88.195
Linear,J00006,Email,newsletter,0.25,88.195
Linear,J00008,Google Ads,high_intent_keywords,0.2,25.488
Linear,J00008,Organic Search,seo_blog,0.2,25.488
Linear,J00008,LinkedIn Ads,b2b_leads,0.2,25.488
Linear,J00008,LinkedIn Ads,saas_trial,0.2,25.488
Linear,J00008,Organic Search,seo_blog,0.2,25.488
Linear,J00011,Organic Search,comparison_page,0.5,44.62
Linear,J00011,Google Ads,competitor_search,0.5,44.62
Linear,J00022,Meta Ads,lookalike_1pct,0.5,127.99
Linear,J00022,Direct,saved_link,0.5,127.99
Linear,J00023,Organic Search,seo_blog,0.2,22.832
Linear,J00023,Meta Ads,interest_stack,0.2,22.832
Linear,J00023,Meta Ads,interest_stack,0.2,22.832
Linear,J00023,LinkedIn Ads,saas_trial,0.2,22.832
Linear,J00023,Direct,direct_visit,0.2,22.832
Linear,J00025,TikTok Ads,short_video_awareness,0.25,82.935
Linear,J00025,LinkedIn Ads,decision_makers,0.25,82.935
Linear,J00025,LinkedIn Ads,saas_trial,0.25,82.935
Linear,J00025,Google Ads,brand_search,0.25,82.935
Linear,J00026,LinkedIn Ads,decision_makers,0.25,71.145
Linear,J00026,Organic Search,how_to_guide,0.25,71.145
Linear,J00026,Google Ads,brand_search,0.25,71.145
Linear,J00026,Organic Search,how_to_guide,0.25,71.145
